root,venue,path_classification,account_evidence,product_permission_status,overnight_status,integer_sizing_status,margin_status,cost_quote_status,observed_staging_status,publication_lineage_status,calendar_status,history_power_status,data_evidence,power_evidence,park_reasons,returns_calculated,questions_sent
ZC,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZW,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZW,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZW,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZS,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZS,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZS,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZM,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZM,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZM,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZL,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZL,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZL,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
LE,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
LE,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
LE,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
HE,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
HE,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
HE,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
